name,trophic-level
Benthic bacteria,2.0
Microfauna,2.7
Meiofauna,2.2
Bacterioplankton,2.0
Microprotozoa,2.5
Epiphyte-grazing amphipods,2.0
Suspension-feeding molluscs,2.25
Hermit crabs,2.15
Spider crabs,2.2
Omnivorous crabs,2.25
Blue crabs,3.2
Isopods,2.0
Brittle stars,2.3
Deposit-feeding peracaridan crustaceans,2.15
Herbivorous shrimps,2.0
Predatory shrimps,2.9
Catfish and stingrays,3.2
Tonguefish,3
Gulf flounder and needlefish,3.9
Southern hake and sea robins,3.6
Atlantic silverside and bay anchovies,3.3
Sheepshead minnow,2.1
Killifishes,2.4
Gobies and blennies,3.1
Pinfish,2.8
Spot,2.8
Pipefish and seahorses,3.1
Red drum,3.3
Deposit-feeding gastropods,2.1
Predatory gastropods,2.35
Epiphyte-grazing gastropods,2.0
Other gastropods,2.0
Deposit-feeding polychaetes,2.3
Predatory polychaetes,3
Suspension-feeding polychaetes,2
Zooplankton,2.15
Benthos-eating birds,3.1
Fish-eating birds,4.0
Fish and crustacean-eating birds,3.8
Gulls,3.4
Raptors,4.4
Herbivorous ducks,2.3
Halodule,1
Micro-epiphytes,1
Macro-epiphytes,1
Benthic algae,1
Phytoplankton,1
Detritus,1